,test_losses,train_losses,test_accuracies
0,1.592291470231681,1.0,0.2758620689655172
1,1.5301428170039737,1.7659705882509722,0.3275862068965517
2,1.403648902629984,1.6040037396693334,0.396551724137931
3,1.2236737218396416,1.3548262816849754,0.4827586206896552
4,0.9746811307709792,1.0112019501398744,0.7413793103448276
5,0.6940931780584927,0.6321444865397491,0.8275862068965517
6,0.4746024690825364,0.3623237026830948,0.8793103448275862
7,0.3432177839608028,0.1804139624516516,0.913793103448276
8,0.2876968383789062,0.1111779733516243,0.913793103448276
9,0.251062771369671,0.0612548209694275,0.913793103448276
10,0.22453250556156554,0.0366582714314023,0.9310344827586207
11,0.2213163869134311,0.021481188624186288,0.9482758620689655
12,0.21515157304961105,0.019413583143309213,0.9482758620689655
13,0.21243848471805968,0.022230525724752502,0.9482758620689655
14,0.20969639153316103,0.014693205273307567,0.9482758620689655
15,0.2087963367330617,0.013043674579353832,0.9482758620689655
16,0.20550617678412075,0.010530170264722999,0.9482758620689655
17,0.20329365237005825,0.008058105233454809,0.9482758620689655
18,0.20186945487712993,0.008916436194332406,0.9482758620689655
19,0.19978631775954675,0.009063844467354653,0.9655172413793104
20,0.19740875836076408,0.0087280753658328,0.9655172413793104
21,0.19598913192749023,0.008046405349235867,0.9655172413793104
22,0.19300857083550815,0.006037508686557087,0.9655172413793104
23,0.19110097556278624,0.004289269382256087,0.9655172413793104
24,0.19123406245790678,0.009704345438678192,0.9655172413793104
25,0.1844811932793979,0.004200431262041284,0.9655172413793104
26,0.18091954856083312,0.004502829440816521,0.9655172413793104
27,0.17919537116741313,0.0035475198683780356,0.9655172413793104
28,0.17870470573162212,0.004266006717515304,0.9655172413793104
29,0.17883113334918843,0.005622186742755523,0.9655172413793104
30,0.1770219474003233,0.002813974061907639,0.9655172413793104
